Date,kpop,BTS,BLACKPINK,PSY,EXO,DAY6,Girls' Gen,BIGBANG,MAMAMOO,MOMOLAND,GOT7,Stray Kids,TXT,ITZY,ENHYPEN,GI-DLE,The Beatles
12-Jan,29807,27360,0,30947,31091,0,70400,30000,0,0,0,2068,62774,4288,0,0,268914
12-Feb,29807,27360,0,23211,37309,0,128000,58846,0,0,0,0,67602,4288,0,0,317181
12-Mar,33695,27360,0,23211,46636,553,62720,84231,0,0,0,0,62774,6432,0,0,310286
12-Apr,34991,27360,0,30947,77727,553,72960,56538,0,0,0,2068,59152,5360,0,0,296495
12-May,36287,27360,0,23211,68400,1106,71680,55385,0,0,0,0,53116,5360,0,0,324076
12-Jun,32399,27360,0,23211,68400,0,71680,76154,0,0,0,0,57945,4288,0,0,268914
12-Jul,36287,27360,0,46421,65291,0,65280,55385,0,0,0,2068,59152,6432,0,0,262019
12-Aug,37583,54720,0,193421,62182,0,57600,53077,0,0,0,0,56738,7504,0,0,248229
12-Sep,36287,27360,0,773684,55964,0,66560,65769,0,0,0,2068,57945,5360,0,0,234438
12-Oct,32399,27360,0,580263,52855,0,66560,62308,0,0,0,0,53116,4288,0,0,241333
12-Nov,33695,27360,0,502895,55964,0,78080,76154,0,0,0,0,50702,4288,0,0,227543
12-Dec,36287,27360,0,595737,55964,0,71680,63462,0,0,0,2068,54323,3216,0,0,262019
13-Jan,38879,27360,0,332684,62182,0,103680,53077,0,0,0,0,53116,4288,0,0,262019
13-Feb,33695,27360,0,208895,49745,0,60160,43846,0,0,0,0,59152,4288,0,0,268914
13-Mar,36287,27360,0,147000,55964,0,58880,39231,0,0,0,0,54323,5360,0,0,262019
13-Apr,37583,27360,0,564789,52855,0,57600,38077,0,0,0,0,49495,4288,0,0,262019
13-May,33695,27360,0,324947,74618,553,56320,32308,0,0,0,0,48287,5360,0,0,255124
13-Jun,36287,54720,0,170211,124364,0,55040,30000,0,0,0,0,49495,5360,0,0,241333
13-Jul,42766,82080,0,116053,115036,0,67840,32308,0,0,0,0,53116,5360,0,0,220648
13-Aug,42766,54720,4821,92842,146127,0,62720,32308,0,0,0,2068,47080,5360,0,0,213752
13-Sep,32399,82080,0,77368,111927,0,55040,31154,0,0,0,0,48287,5360,0,0,234438
13-Oct,32399,54720,4821,69632,90164,0,51200,28846,0,0,0,2068,44666,4288,0,0,241333
13-Nov,37583,54720,0,69632,111927,553,98560,39231,0,0,0,0,42251,4288,0,0,241333
13-Dec,38879,54720,0,69632,149236,0,62720,34615,0,0,0,2068,45873,4288,0,0,220648
14-Jan,42766,82080,0,69632,146127,0,57600,31154,1215,0,69875,2068,44666,3216,0,0,324076
14-Feb,38879,109440,0,61895,127473,0,60160,31154,2430,0,53625,2068,47080,4288,0,0,689524
14-Mar,41470,109440,0,54158,118145,553,65280,28846,2430,0,48750,2068,45873,5360,0,0,268914
