Date,Georgia,Maryland,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Jan 2012,16,23,18,0,16,0,31,15,17,0,10,19,59,0,21,21,26,5,12,24,0,20,25,28,0,18,0,12,27,52,33,21,30,18,0,14,24,23,27,0,9,0,20,16,9,0,31,24,36,30,0
Feb 2012,17,25,15,0,16,0,30,21,20,0,13,19,62,0,19,22,18,8,9,22,37,23,30,32,0,12,0,0,34,0,44,22,28,15,0,16,12,15,22,0,16,0,18,16,13,0,38,26,0,34,0
Mar 2012,14,23,21,39,22,0,31,19,27,0,17,18,71,0,19,26,18,11,24,17,39,25,27,35,22,17,0,0,14,0,40,35,30,17,0,20,24,23,23,42,21,0,11,17,24,0,38,30,0,33,0
Apr 2012,22,32,22,44,24,25,35,24,21,0,12,23,60,0,22,20,0,14,0,18,0,25,34,27,0,23,0,0,31,33,40,22,34,22,0,24,27,37,31,0,18,0,21,21,13,57,41,29,41,41,0
May 2012,16,29,22,40,20,0,43,24,35,36,12,24,62,0,18,23,28,11,19,30,35,25,18,33,0,26,0,44,26,0,33,23,29,26,0,24,20,34,31,32,25,0,30,19,15,0,34,28,0,44,0
Jun 2012,22,29,18,0,23,19,37,17,15,0,9,25,59,0,19,21,23,17,14,15,0,23,25,20,22,25,56,0,27,34,33,49,30,24,0,23,27,30,32,48,25,0,15,21,17,0,38,24,0,38,0
Jul 2012,18,35,28,39,18,24,39,17,22,31,12,26,85,0,23,19,35,14,19,15,0,28,26,27,21,15,0,24,36,0,40,0,30,27,0,28,31,42,30,34,34,0,24,23,27,0,35,34,52,37,0
Aug 2012,18,40,30,0,21,0,39,22,24,0,13,23,58,0,23,26,24,15,20,15,52,25,26,36,33,24,0,48,33,0,40,36,34,27,0,25,23,42,36,34,24,0,36,24,0,0,47,34,0,36,0
Sep 2012,21,30,17,0,25,19,40,23,30,0,19,29,54,0,23,28,16,22,0,30,51,28,27,37,24,25,0,29,41,0,39,30,31,25,0,25,13,25,32,0,20,0,27,22,19,0,36,30,0,32,0
Oct 2012,19,29,26,40,24,28,34,19,21,0,12,25,70,43,21,14,36,13,26,24,31,24,28,28,0,15,0,32,27,32,35,0,30,26,0,19,26,29,27,50,29,0,22,19,9,0,32,30,0,28,0
Nov 2012,18,28,29,35,29,23,37,22,18,34,11,22,48,28,20,21,33,9,23,21,0,21,16,28,0,23,0,0,19,0,36,29,28,20,0,27,31,31,24,0,12,0,19,20,13,0,37,29,0,42,0
Dec 2012,19,28,21,0,25,21,37,29,19,0,17,26,55,0,20,29,33,11,23,21,39,26,34,33,20,24,0,28,27,38,34,35,32,26,0,24,31,29,34,54,27,0,28,23,17,0,38,36,60,28,0
Jan 2013,19,32,22,38,21,0,41,23,20,36,14,24,58,28,25,28,53,13,15,28,0,24,30,41,27,26,0,26,29,0,31,24,32,25,0,26,24,37,37,43,34,0,24,23,14,0,42,35,0,39,0
Feb 2013,16,24,26,29,29,21,34,18,26,0,12,21,54,0,22,29,32,11,24,21,0,30,20,35,0,32,0,24,26,43,33,27,31,22,0,20,32,38,31,33,28,0,31,21,25,0,33,29,0,25,0
