Date,kpop,BTS,BLACKPINK,PSY,EXO,DAY6,Girls' Generation,BIGBANG,MAMAMOO,GOT7,Stray Kids,TXT,ITZY,ENHYPEN,G-IDLE,The Beatles
Jan-12,27970,26911,0,31360,32417,0,1066667,29714,0,0,0,59929,4396,1145,4918,266503
Feb-12,29302,26911,0,23520,38900,0,416000,59429,0,0,2128,57532,4396,0,0,326466
Mar-12,29302,26911,0,23520,45384,0,0,85714,0,0,0,61127,6594,0,0,313141
Apr-12,34630,26911,0,31360,74559,1112,0,57143,0,0,2128,58730,5495,0,0,299816
May-12,34630,26911,0,23520,71318,0,0,54857,0,0,0,58730,5495,0,0,326466
Jun-12,33298,26911,0,23520,68076,0,0,76571,0,0,2128,55134,4396,0,0,266503
Jul-12,35962,26911,0,47040,64834,556,0,56000,0,0,2128,56333,5495,0,0,266503
Aug-12,38625,53823,0,188160,64834,1112,416000,53714,0,0,0,55134,7693,0,0,246515
Sep-12,35962,26911,0,784000,55109,0,0,65143,0,0,2128,51539,5495,0,0,233190
Oct-12,30634,26911,0,588000,48626,0,330667,61714,0,0,2128,56333,3297,0,0,239853
Nov-12,33298,26911,0,501760,58351,0,0,76571,0,0,0,51539,4396,0,0,233190
Dec-12,37293,26911,0,595840,58351,0,0,64000,0,0,2128,56333,3297,0,4659,286491
Jan-13,39957,26911,0,329280,61592,0,288000,53714,0,0,0,52737,4396,0,0,273166
Feb-13,35962,26911,0,196000,55109,0,0,44571,0,0,0,53936,4396,0,0,273166
Mar-13,37293,26911,0,148960,55109,0,0,40000,0,0,0,51539,5495,0,0,259840
Apr-13,37293,26911,0,533120,51867,0,0,38857,1208,0,0,49141,4396,0,0,266503
May-13,34630,53823,0,337120,77801,0,0,32000,0,0,0,46744,5495,0,0,266503
Jun-13,37293,53823,0,172480,119943,0,0,29714,0,0,0,51539,5495,0,0,239853
Jul-13,42621,80734,0,117600,119943,0,0,32000,0,0,0,49141,6594,0,0,219865
Aug-13,43953,53823,0,94080,145877,556,0,32000,0,0,2128,46744,5495,0,3883,219865
Sep-13,33298,80734,0,70560,110218,0,0,30857,0,0,0,47943,5495,0,0,233190
Oct-13,31966,53823,0,70560,87526,556,0,28571,0,0,2128,47943,4396,0,0,239853
Nov-13,37293,53823,0,70560,113460,556,384000,38857,0,0,0,43149,4396,0,0,253178
Dec-13,39957,53823,0,70560,149118,0,309333,34286,0,0,0,46744,4396,0,0,253178
Jan-14,42621,80734,0,70560,145877,556,405333,30857,1208,71362,0,44347,3297,0,0,333129
Feb-14,42621,107646,0,62720,129668,0,0,30857,1208,54766,2128,46744,4396,0,0,666258
Mar-14,42621,107646,0,54880,126427,0,0,29714,2415,49787,0,45546,5495,0,0,259840
Apr-14,45285,107646,0,62720,175052,0,0,29714,0,39830,2128,53936,3297,0,0,266503
May-14,39957,107646,0,54880,239886,0,0,29714,0,41489,0,50340,4396,0,0,266503
Jun-14,43953,134557,0,125440,204227,556,0,28571,4830,68043,0,50340,3297,0,0,226528
Jul-14,47949,134557,0,70560,188019,556,0,32000,8453,81319,2128,47943,4396,0,0,233190
Aug-14,47949,188380,0,70560,168569,0,0,32000,4830,63064,0,46744,4396,0,0,239853
Sep-14,43953,134557,0,54880,139393,1112,0,32000,4830,44809,2128,50340,3297,0,0,219865
Oct-14,42621,107646,0,54880,149118,556,0,33143,2415,44809,2128,49141,3297,0,0,219865
Nov-14,45285,107646,0,54880,171810,0,0,33143,8453,61404,0,46744,3297,0,0,219865
Dec-14,49281,161469,0,62720,175052,0,0,32000,10868,81319,0,45546,3297,0,0,246515
Jan-15,49281,161469,0,54880,217194,0,0,34286,10868,82979,0,45546,3297,0,0,239853
Feb-15,43953,161469,0,54880,213953,0,0,34286,7245,69702,2128,47943,3297,0,4142,266503
Mar-15,50613,188380,4665,47040,246370,0,0,33143,8453,69702,2128,47943,3297,0,0,246515
Apr-15,51945,188380,0,47040,324171,0,0,53714,15698,68043,0,51539,3297,0,0,246515
May-15,50613,296026,0,47040,256095,1112,0,101714,8453,64723,2128,53936,3297,0,0,233190
Jun-15,54608,296026,0,47040,262578,0,0,114286,25358,56426,0,49141,3297,0,0,206540
Jul-15,57272,349849,0,47040,200986,556,0,83429,28981,101234,2128,50340,4396,0,0,199877
Aug-15,54608,296026,0,47040,178294,556,0,84571,25358,94596,0,46744,4396,0,0,206540
Sep-15,49281,296026,0,47040,149118,39471,0,72000,30189,89617,0,49141,3297,0,0,199877
Oct-15,54608,296026,0,47040,145877,18346,0,97143,22943,124468,2128,45546,3297,0,0,213202
Nov-15,58604,403672,0,54880,171810,13898,0,72000,15698,109532,0,44347,3297,0,0,199877
Dec-15,67927,565141,0,148960,223678,8339,0,81143,18113,111191,2128,41950,3297,0,0,273166
Jan-16,61268,430584,0,54880,149118,12231,384000,50286,18113,102894,2128,39553,3297,0,0,226528
Feb-16,59936,403672,0,54880,149118,16678,0,45714,38642,82979,0,44347,3297,0,0,219865
Mar-16,57272,403672,0,47040,123185,16678,330667,48000,59170,146043,0,41950,3297,0,0,219865
Apr-16,61268,430584,0,47040,110218,23905,0,38857,59170,154340,2128,41950,3297,1145,0,219865
May-16,57272,618964,0,47040,106976,13898,0,37714,44679,127787,2128,40751,2198,0,0,219865
Jun-16,63932,538230,4665,39200,165327,21125,245333,37714,42264,119489,2128,44347,3297,1145,0,193215
Jul-16,62600,484407,9331,39200,136152,18902,0,36571,38642,154340,2128,37156,3297,0,0,179890
Aug-16,53276,457495,121300,39200,136152,11675,0,37714,30189,92936,0,38354,3297,0,0,166564
Sep-16,50613,430584,46654,47040,119943,7227,0,27429,26566,114511,2128,39553,3297,0,0,219865
Oct-16,54608,645875,37323,47040,110218,5559,0,33143,20528,104553,2128,38354,3297,0,0,199877
Nov-16,55940,618964,111970,39200,106976,6115,0,33143,43472,109532,0,38354,3297,1145,0,239853
Dec-16,67927,726610,74646,39200,119943,7227,0,70857,37434,122809,2128,35957,2198,0,0,213202
Jan-17,67927,699698,65316,39200,106976,25573,0,54857,41057,129447,2128,37156,4396,0,0,213202
Feb-17,61268,888079,55985,39200,103735,19458,0,40000,28981,104553,0,40751,3297,0,0,206540
